name,temperature,humidity,cloudiness,wind_speed,latitude,longitude
Abu Dhabi,22.22,88,31,1.5,24.47,54.37
Khatanga,-9.02,92,0,6.08,71.97,102.5
New Norfolk,11.07,73,93,0.89,-42.78,147.06
Torbay,-1.38,63,75,4.6,47.67,-52.73
Rikitea,25.2,63,1,0.89,-23.12,-134.97
Ushuaia,7.0,75,40,2.1,-54.8,-68.3
Albany,1.74,79,100,1.73,42.6,-73.97
Beringovskiy,-6.29,97,100,10.33,63.05,179.32
Mataura,15.56,51,35,4.02,-46.19,168.86
Suntar,-7.82,85,100,3.04,62.14,117.63
Barrow,-12.0,85,40,8.2,71.29,-156.79
George Town,30.81,70,20,1.0,5.41,100.34
Coquimbo,14.0,87,0,1.5,-29.95,-71.34
Cidreira,17.94,87,4,0.96,-30.18,-50.21
Ponta do Sol,12.26,66,12,2.97,32.67,-17.1
Katsuura,15.63,93,75,8.2,35.13,140.3
Taltal,17.74,73,14,0.89,-25.4,-70.48
Cape Town,8.0,87,55,1.0,-33.93,18.42
Hermanus,13.93,77,84,2.24,-34.42,19.23
Longyearbyen,-1.0,63,75,3.6,78.22,15.64
Castro,10.75,67,69,1.72,-24.79,-50.01
Chumikan,-1.37,85,97,2.51,54.72,135.31
Banjar,31.0,79,20,3.1,-8.19,114.97
Okha,-2.99,92,100,5.41,53.57,142.95
Flinders,21.46,48,0,0.89,-34.58,150.86
Qaanaaq,-11.4,80,13,3.59,77.48,-69.36
Mana,25.44,87,74,3.58,5.66,-53.78
Saint-Philippe,20.29,73,38,4.6,-21.36,55.77
Wawa,27.99,66,100,3.92,9.9,4.42
Bethel,2.12,93,90,2.1,41.37,-73.41
Maceió,24.0,100,40,2.1,-9.67,-35.74
Paita,23.73,73,30,4.81,-5.09,-81.11
Charters Towers,31.03,42,57,1.1,-20.1,146.27
Mabaruma,23.64,88,0,2.41,8.2,-59.78
Kulhudhuffushi,30.17,69,92,4.68,6.62,73.07
Bluff,15.56,51,47,4.02,-46.6,168.33
Hithadhoo,28.82,79,10,6.46,-0.6,73.08
Sovetskiy,2.68,91,100,2.99,61.36,63.58
Kapaa,25.57,65,1,5.7,22.08,-159.32
Sterling,9.3,76,90,1.5,39.01,-77.43
Boyolangu,29.55,71,19,2.41,-8.12,111.89
Cedar City,11.17,32,75,3.6,37.68,-113.06
Mbini,24.0,100,40,3.1,1.57,9.61
Chokurdakh,-19.49,90,50,2.17,70.63,147.92
Jamestown,0.33,84,90,2.1,42.1,-79.24
Gavrilovka Vtoraya,1.11,83,16,4.38,52.88,42.77
Cairns,30.65,74,95,3.6,-16.92,145.77
Tautira,30.0,70,95,2.6,-17.73,-149.15
Sioux Lookout,2.19,55,75,2.6,50.1,-91.92
Broome,-0.43,92,90,3.1,42.25,-75.83
Letka,0.89,92,100,0.48,59.6,49.42
Tiksi,-12.6,93,100,2.7,71.69,128.87
Makakilo City,27.54,45,1,3.1,21.35,-158.09
Caravelas,25.35,86,17,6.46,-17.71,-39.25
Port Shepstone,19.04,76,0,3.41,-30.74,30.45
Naze,22.51,69,75,3.6,28.37,129.48
Aykhal,-12.0,55,19,4.0,66.0,111.5
Punta Arenas,7.89,81,75,7.2,-53.15,-70.92
High Level,3.0,59,40,4.1,58.52,-117.14
Klaksvík,5.0,86,0,3.1,62.23,-6.59
Sitka,9.0,81,75,1.59,57.05,-135.33
Kantang,31.0,66,20,1.08,7.41,99.52
Avarua,27.0,69,10,2.1,-21.21,-159.78
Busselton,22.18,36,98,3.17,-33.65,115.33
Aklavik,1.0,80,75,2.6,68.22,-135.01
Chiredzi,20.99,81,89,2.92,-21.05,31.67
Hue,28.0,83,40,3.1,16.47,107.6
Linxia Chengguanzhen,12.34,31,26,2.24,35.6,103.21
Vaini,28.0,69,20,4.1,-21.2,-175.2
Boende,22.86,86,100,0.46,-0.22,20.87
Bonavista,-2.22,77,73,3.13,48.65,-53.11
Bathsheba,26.0,74,40,7.2,13.22,-59.52
Los Llanos de Aridane,18.0,68,40,2.6,28.66,-17.92
Bandarbeyla,27.5,72,42,3.06,9.49,50.81
San Patricio,24.4,61,100,3.99,19.22,-104.7
Vidor,21.82,88,90,1.5,30.13,-94.02
Mahibadhoo,29.61,72,69,4.03,3.78,72.97
Pangnirtung,-16.99,88,100,1.35,66.15,-65.71
Kilis,9.0,87,0,1.0,36.72,37.12
Belaya Gora,-15.78,89,79,2.68,68.53,146.42
Río Gallegos,9.0,49,70,5.7,-51.62,-69.22
Ust-Nera,-14.95,79,100,4.27,64.57,143.2
Rojhan,24.65,54,25,6.39,28.69,69.95
Meulaboh,28.82,71,97,1.4,4.14,96.13
